SMILES,IC50
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNC(=O)C6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@]6(CNC(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5[C@@H](CO)CC6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@]56CCCN5[C@@H](CO)CC6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5[C@H](CO)CC6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(C5)NC(=O)NC6=O)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](O)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@]56CCCN5[C@H](COC(=O)N(C)C)CC6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5[C@H](COC(=O)N(C)C)CC6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN(C)C)CC5)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCCCC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CC(=O)NC6=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(CC(=O)N6)C5)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCOC[C@@](C)(O)C5)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(C5)NC(=O)NC6=O)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCCCCC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N(C)C)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H](CO)C[C@@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNS(=O)(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN6CCCCC6)CC5)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN6CCOCC6)CC5)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N(C)C)cc6C5)nc(OCC5(CN(C)C)CC5)nc4c3F)c12,2.0
