ID,SMILES,Kd,IC50,erk_IC50
azaq_341,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(CO)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_346,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC(O)CC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_352,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC(NS(N)(=O)=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_353,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCc6nn(C(=O)N(C)C)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_354,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N7CCOCC7)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_355,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N7CCCC7)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_358,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N(C)CC)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_359,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(C5)NC(=O)NC6=O)nc(OCC5(CN(C)C)CC5)nc4c3F)c12,,2.0,
azaq_361,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCOC[C@@](C)(O)C5)nc(OCC5(CN(C)C)CC5)nc4c3F)c12,,2.0,
azaq_367,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(NCC5CC(=O)NC5=O)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_374,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(NCC(N)CC(=O)O)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_377,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(NCCC5CCC(=O)N5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_385,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(NCc5cc(C(N)=O)nn5C)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_390,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CC(O)CC5C6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_391,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCOCC(CO)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_393,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CC(O)C6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_394,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(N)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_397,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(C5)NC(=O)NC6=O)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_400,CC1(O)COCCN(c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc3c(F)c(-c4cc(O)cc5ccc(F)c(Br)c45)ncc23)C1,,2.0,
